Text	POS	Lemma	
امڪاني	ADJ	امڪاني	
انتظامي	ADJ	انتظامي	
ايڏو	ADJ	ايڏو	
اڳئين	ADJ	اڳئيون	
اڳڀرو	ADJ	اڳڀرو	
اڻٽر	ADJ	اڻٽر	
بااختيار	ADJ	بااختيار	
بدترين	ADJ	بدترين	
تاريخي	ADJ	تاريخي	
تازي	ADJ	تازو	
تفصيلي	ADJ	تفصيلي	
جاني	ADJ	جاني	
جهنگلي	ADJ	جهنگلي	
حساس	ADJ	حساس	
خشڪ	ADJ	خشڪ	
دريائي	ADJ	دريائي	
رسو	ADJ	رسو	
رڪني	ADJ	رڪني	
زيل	ADJ	زيل	
سارو	ADJ	سارو	
ساري	ADJ	سارو	
ساڳيو	ADJ	ساڳيو	
ستئي	ADJ	ست	
ستن	ADJ	ست	
سربستي	ADJ	سربستو	
سرهو	ADJ	سرهو	
سـُـڪل	ADJ	سـُـڪل	
سـُڪل	ADJ	سـُڪل	
سو	ADJ	سو	
سڌي	ADJ	سڌو	
سڪل	ADJ	سڪل	
شامل	ADJ	شامل	
صدارتي	ADJ	صدارتي	
ضلعي	ADJ	ضلعو	
طرفي	ADJ	طرفي	
طويل	ADJ	طويل	
ظاهر	ADJ	ظاهر	
فعال	ADJ	فعال	
قانوني	ADJ	قانوني	
لارجر	ADJ	لارجر	
لازمي	ADJ	لازمي	
لاڳو	ADJ	لاڳو	
لهواري	ADJ	لهوارو	
مشروط	ADJ	مشروط	
مصروف	ADJ	مصروف	
مطمئين	ADJ	مطمئين	
ممڪن	ADJ	ممڪن	
منطور	ADJ	منطور	
موچارو	ADJ	موچارو	
مُٺِي	ADJ	مُٺِي	
مِٺِي	ADJ	مِٺو	
مٿانهين	ADJ	مٿينھن	
مٿين	ADJ	مٿيون	
نيشنل	ADJ	نيشنل	
هراسيل	ADJ	هراسيل	
هرڪو	ADJ	هرڪو	
هضم	ADJ	هضم	
هيٺين	ADJ	هيٺون	
هيٺيون	ADJ	هيٺيون	
هيڏو	ADJ	هيڏو	
هيڏي	ADJ	هيڏو	
هٿرادو	ADJ	هٿرادو	
هٿيڪو	ADJ	هٿيڪو	
هڪٻئي	ADJ	هڪٻئي	
هڪڙيءَ	ADJ	هڪڙو	
