Word	POS	Predicted	Notes
آتا	ADJ	آتو	
آتو	ADJ	آتو	
آجي	ADJ	آجو	
آزاداڻي	ADJ	آزاداڻو	
آفاقي	ADJ	آفاقي	
آفريڪي	ADJ	آفريڪي	
آمريڪي	ADJ	آمريڪي	
آڌي	ADJ	آڌي	
ابتڙ	ADJ	ابتڙ	
اتاولا	ADJ	اتاولو	
اتر	ADJ	اتر	
اتفاقي	ADJ	اتفاقي	
اجرو	ADJ	اجرو	
اجڙيل	ADJ	اجڙيو	
اخباري	ADJ	اخباري	
اربين	ADJ	اربين	
ازلي	ADJ	ازلي	
استادي	ADJ	استادي	should be a NOUN
اسٽريٽجڪ	ADJ	اسٽريٽجڪ	
اصلاحي	ADJ	اصلاحي	
اصلوڪا	ADJ	اصلوڪو	
اصلوڪين	ADJ	اصلوڪو	
اغوا	ADJ	اغوا	
اقتداراعليٰ	ADJ	اقتداراعليٰ	
الميو	ADJ	الميو	
امتحاني	ADJ	امتحاني	
اميراڻي	ADJ	اميراڻو	
اندروني	ADJ	اندروني	
انمول	ADJ	انمول	
انٽرا	ADJ	انٽرا	
انگريز	ADJ	انگريز	
انگريزي	ADJ	انگريزي	
اهريءَ	ADJ	اهريءَ	
اهوئي	ADJ	اهوئي	
اهڙيون	ADJ	اهڙو	should be PRON or DET
اوترو	ADJ	اوترو	
اوتيل	ADJ	اوتيل	
اورڪزئي	ADJ	اورڪزئي	Should be a NOUN or PROPN
اونهو	ADJ	اونهو	
اونو	ADJ	اونو	Should be a NOUN
اوپرن	ADJ	اوپرو	
اوچتي	ADJ	اوچتي	
ايتريون	ADJ	ايتري	
ايراني	ADJ	ايراني	
ايندڙ	ADJ	ايندڙ	
اٽڪل	ADJ	اٽڪل	
اڄوڪو	ADJ	اڄوڪو	
اڄوڪي	ADJ	اڄوڪي	
اڇا	ADJ	اڇا	
اڇلايل	ADJ	اڇلايل	
اڇو	ADJ	اڇو	
اڇي	ADJ	اڇو	
اڌو	ADJ	اڌو	
اڌوري	ADJ	اڌورو	
اڪثريتي	ADJ	اڪثريتي	
اڪيلي	ADJ	اڪيلي	
اڪيچار	ADJ	اڪيچار	
اگهاڙي	ADJ	اگهاڙو	
اڱاري	ADJ	اڱاري	Should be a NOUN
اڳڀريون	ADJ	اڳڀري	
اڻواقف	ADJ	اڻواقف	
اڻپوريون	ADJ	اڻپوري	
اڻڄاڻ	ADJ	اڻڄاڻ	
اھڙي	ADJ	اھڙو	
با	ADJ	با	
بااثر	ADJ	بااثر	
بار	ADJ	بار	
بازياب	ADJ	بازياب	
باوقار	ADJ	باوقار	
بحيثيت	ADJ	بحيثيت	
