Word	POS	Predicted	
آءُ	VERB	آءُ	
آرها	VERB	آرهو	
آزمائڻ	VERB	آزماءِ	
آلاپيندا	VERB	آلاپ	
آياسين	VERB	آيو	
آيوآهي	VERB	آيوآهي	Tokenization problem آيو آھي
آيوآهيان	VERB	آئآهي	Tokenization problem آيو آھيان
آيوآهين	VERB	آئآهي	Tokenization problem آيو آھين
آڇيو	VERB	آڇ	
آڻيندو	VERB	آڻ	
آڻيون	VERB	آڻ	
آڻڻو	VERB	آڻ	
اجايو	VERB	اجاءِ	Should be ADJ
ارپڻ	VERB	ارپڻ	
اسري	VERB	اسر	
اسرڻ	VERB	اسر	
اماڻيا	VERB	اماڻ	
اماڻيو	VERB	اماڻ	
اماڻڻ	VERB	اماڻ	
اوٻاري	VERB	اوٻارِ	
ايندينءَ	VERB	ايندو	
ايڏو	VERB	ايڏو	
ايڏي	VERB	ايڏو	
اُجهائي	VERB	اُجهاءِ	
اُماڻيا	VERB	اُماڻ	
اُڇلائي	VERB	اُڇل	
اُڇلائيندو	VERB	اُڇل	
اُڇلرائي	VERB	اُڇل	
اُڏامي	VERB	اُڏام	
اٿاريندي	VERB	اٿار	
اٿاريو	VERB	اٿار	
اٿوَ	VERB	اٿ	
اٿيو	VERB	اٿ	
اٿڻ	VERB	اٿ	
اڀريو	VERB	اڀر	
اچـي	VERB	اچ	
اڇلائڻ	VERB	اڇل	
اڇلجي	VERB	اڇلج	
اڌائي	VERB	اڌاءِ	
اڏامڻ	VERB	اڏام	
اڏي	VERB	اڏ	
اڪسايو	VERB	اڪساٰءِ	
اگهن	VERB	اگهي	
بخشي	VERB	بخش	
بدلائيندا	VERB	بدلاءِ	
بدلائيڻيون	VERB	بدلاء	
بدلايو	VERB	بدلاءِ	
بدلجڻ	VERB	بدلج	
بنائي	VERB	بناءِ	
بنجي	VERB	بنج	
بنيو	VERB	بنيو	
بيهاريو	VERB	بيهار	
بيهن	VERB	بيه	
بيهو	VERB	بيه	
بيهڻ	VERB	بيه	
بچن	VERB	بچ	
بچيو	VERB	بچ	
بکيا	VERB	بکيو	ADJ
بکيو	VERB	بکيو	ADJ
بڻائيندي	VERB	بڻاءِ	
بڻايل	VERB	بڻايو	
بڻجندا	VERB	بڻج	
بڻجندو	VERB	بڻج	
بڻجندڙ	VERB	بڻج	
بڻجڻ	VERB	بڻج	
بڻيا	VERB	بڻ	
بڻيو	VERB	بڻ	
ترسائڻ	VERB	ترساءِ	
ترسو	VERB	ترس	
ترسيس	VERB	ترس	
ترسڻو	VERB	ترس	
جاچڻ	VERB	جاچ	
جاڳي	VERB	جاڳ	
جرڪي	VERB	جرڪ	
جلدي	VERB	جلدي	ADV
جهليو	VERB	جهل	
جهلڪندي	VERB	جهلڪ	
جهومندا	VERB	جهوم	
جهونگاريندو	VERB	جهونگار	
جهونگاريندي	VERB	جهونگار	
جهونگارڻ	VERB	جهونگار	
جهيلو	VERB	جهيلو	
جهڪائڻ	VERB	جهڪاءِ	
جهڪي	VERB	جهڪو	
جوڙايل	VERB	جوڙاءِ	
جوڙايو	VERB	جوڙاءِ	
جوڙيون	VERB	جوڙ	
جيئاري	VERB	جيئار	
جيئندي	VERB	جيءُ	
جِي	VERB	جِي	
جڙڻ	VERB	جڙ	
حوالي	VERB	حوالي	
خريد	VERB	خريد	
دانهيندي	VERB	دانھن	
درج	VERB	درج	
دفنائي	VERB	دفناءِ	
دهلجي	VERB	دهلج	
ذميوارآهن	VERB	ذميوارآهن	Tokenization Problem ذميوار آهن 
رئڻ	VERB	رءِ	
رسائڻ	VERB	رساءِ	
رسندو	VERB	رس	
رلندو	VERB	رل	
رنڱيل	VERB	رنڱ	
رهنداسين	VERB	ره	
رهو	VERB	ره	
رهون	VERB	ره	
رهيس	VERB	ره	
رهيل	VERB	ره	
رهڙي	VERB	رهڙو	
رهڻو	VERB	رهڻ	
روئڻ	VERB	روءِ	
روليون	VERB	رول	
روڪيندو	VERB	روڪ	
روڪيندي	VERB	روڪ	
رُئان	VERB	رُئ	
رُڌل	VERB	رُڌ	
رڌل	VERB	رڌ	
رڌيا	VERB	رڌ	
رڌڻ	VERB	رڌ	
رک	VERB	رک	
رکندس	VERB	رک	
رکندو	VERB	رک	
رکنديون	VERB	رک	
رکون	VERB	رک	
رکيائينس	VERB	رک	
رکيون	VERB	رک	
رکڻي	VERB	رک	
رھندي	VERB	رھ	
رھيو	VERB	رھ	
رھيون	VERB	رھ	
زور	VERB	زور	NOUN
سانگي	VERB	سانگ	ADP
ساهي	VERB	ساه	NOUN
ساڙي	VERB	ساڙ	
سبب	VERB	سبب	ADP or NOUN
ستايو	VERB	ستاءِ	
ستو	VERB	ستو	
سجمهڻ	VERB	سجمهڻ	Spelling mistake
سرندو	VERB	سرندو	
سـَٺِي	VERB	سـَٺو	
سلجهائي	VERB	سلجهاءِ	
سمجهائي	VERB	سمجهاءِ	
سمجهايا	VERB	سمجهاءِ	
سمجهايو	VERB	سمجهاءِ	
سمجهن	VERB	سمجه	
سمجهندي	VERB	سمجه	
سمجهيا	VERB	سمجه	
سمجهيل	VERB	سمجه	
سمجهيون	VERB	سمجه	
سمهڻ	VERB	سمھ	
سموئڻ	VERB	سموءِ	
سنبريا	VERB	سنبر	
سنڀاليندي	VERB	سنڀال	
سنڀاليو	VERB	سنڀال	
