Raw	POS	Lemma
سقـُڪل	ADJ	سقـُڪل
سھڻي	ADJ	سھڻي
منو	ADJ	منو
ننڍو	ADJ	ننڍو
پھريون	ADJ	پھريون
چئوڻا	ADJ	چئوڻو
کيُ	ADP	کيُ
آھستي	ADV	آھستو
ويجھس	ADV	ويجھس
پهرين	ADV	پهرين
ڪانہ	ADV	ڪانہ
ڪونہ	ADV	ڪونہ
ھتي	ADV	ھتي
ھيڏانھن	ADV	ھيڏانھن
اھي	DET	اھي
ھي	DET	ھي
او	INTJ	او
واہ	INTJ	واہ
اندران	NOUN	اندر
ماما	NOUN	ماما
مبارڪون	NOUN	مبارڪ
ٻلي	NOUN	ٻلي
ٻوڙ	NOUN	ٻوڙ
پاس	NOUN	پاس
پنا	NOUN	پنا
پنو	NOUN	پنو
پنکي	NOUN	پنکي
پيرو	NOUN	پيرو
پيسا	NOUN	پيسو
چوڪرا	NOUN	چوڪرو
چوڪرو	NOUN	چوڪرو
چوڪري	NOUN	چوڪرو
چوڪريون	NOUN	چوڪري
ڍڳو	NOUN	ڍڳو
ڦٽيون	NOUN	ڦٽي
گـدڙ	NOUN	گـدڙ
ھمراھ	NOUN	ھمراھ
ھمراہ	NOUN	ھمراہ
ھٿ	NOUN	ھٿ
نہ	PART	نہ
توھان	PRON	توھان
جھڙا	PRON	جھڙو
ڪھڙا	PRON	ڪھڙو
ھو	PRON	آهي
جاويد	PROPN	جاويد
سيما	PROPN	سيما
تہ	SCONJ	تہ
اڇجانءِ	VERB	اڇجانءِ
اڇي	VERB	اڇو
لکان	VERB	لک
لکانس	VERB	لکان
لکجي	VERB	لک
مئل	VERB	مئل
مار	VERB	مار
پوکيون	VERB	پوک
پيءُ	VERB	پيءُ
پڙھو	VERB	پڙھو
پڙھي	VERB	پڙھ
پڙھيو	VERB	پڙھ
پڙھڻ	VERB	پڙھ
پھتو	VERB	پھتو
چيومانو	VERB	چيومانو
ڊوڙيو	VERB	ڊوڙ
ڏيان	VERB	ڏيان
ڦاٽل	VERB	ڦاٽو
ڦاڙيم	VERB	ڦاڙيو
ڦر	VERB	ڦر
ڦير	VERB	ڦير
کائيندا	VERB	کاءِ
کيڏان	VERB	کيڏ
کيڏياسين	VERB	کيڏ
ھلندو	VERB	ھل
ھليو	VERB	ھل
ھلڻو	VERB	ھلڻو
