Raw	POS	Lemma	Remarks
آئرش	ADJ	آئرش	
آباد	ADJ	آباد	
آن	ADJ	آن	Review needed
اخلاقي	ADJ	اخلاقي	
ادا	ADJ	ادا	
ارڙهين	ADJ	ارڙهن	
اسرائيلي	ADJ	اسرائيلي	
اصلي	ADJ	اصلي	
اصولي	ADJ	اصولي	
المناڪ	ADJ	المناڪ	
امدادي	ADJ	امدادي	
انتقامي	ADJ	انتقامي	
ايٽمي	ADJ	ايٽمي	
ايڏي	ADJ	ايڏي	
اڪثر	ADJ	اڪثر	
اڳيون	ADJ	اڳ	
بحال	ADJ	بحال	
برطرف	ADJ	برطرف	
بطال	ADJ	بطال	
بنا	ADJ	بنا	
بي	ADJ	بي	
بھتر	ADJ	بھتر	
ترڪِ	ADJ	ترڪِ	
توڙي	ADJ	توڙي	
جاري	ADJ	جاري	
جملي	ADJ	جملي	
جهڙا	ADJ	جهڙو	
جهڙو	ADJ	جهڙو	
حقيقي	ADJ	حقيقي	
خفيه	ADJ	خفيه	
خودغرض	ADJ	خودغرض	
خوشبودار	ADJ	خوشبودار	
دردناڪ	ADJ	دردناڪ	
روحاني	ADJ	روحاني	
روزانه	ADJ	روزانه	
روسي	ADJ	روسي	
زبردست	ADJ	زبردست	
زده	ADJ	زده	
سادي	ADJ	سادو	
ساڳئي	ADJ	ساڳيو	
سجاڳ	ADJ	سجاڳ	
سراسري	ADJ	سراسري	
سروري	ADJ	سروري	
سمورو	ADJ	سمورو	
سياڻي	ADJ	سياڻي	
سپر	ADJ	سپر	
سڌو	ADJ	سڌو	
شهري	ADJ	شهري	
صفا	ADJ	صفا	
طئي	ADJ	طئي	
عادي	ADJ	عادي	
عجيب	ADJ	عجيب	
عدالتي	ADJ	عدالتي	
عراقي	ADJ	عراقي	
عسڪري	ADJ	عسڪري	
علاوه	ADJ	علاوه	
عملي	ADJ	عملي	
فضائي	ADJ	فضائي	
لائن	ADJ	لائن	
لساني	ADJ	لساني	
مايوس	ADJ	مايوس	
مبينا	ADJ	مبينا	
مثبت	ADJ	مثبت	
مذهبي	ADJ	مذهبي	
مسلسل	ADJ	مسلسل	
مطابق	ADJ	مطابق	
معطل	ADJ	معطل	
مغربي	ADJ	مغربي	
ملتوي	ADJ	ملتوي	
موتمار	ADJ	موتمار	
موثر	ADJ	موثر	
مڙني	ADJ	مڙني	
نااهل	ADJ	نااهل	
ناداني	ADJ	نادان	
نامعلوم	ADJ	نامعلوم	
نتيجتاً	ADJ	نتيجتاً	
ننڍڙا	ADJ	ننڍڙو	
نون	ADJ	نئون	
ون	ADJ	ون	
وڌندڙ	ADJ	وڌ	
يمني	ADJ	يمني	
يهودي	ADJ	يهودي	
ٻطرفن	ADJ	ٻطرف	
ٽنهي	ADJ	ٽنهي	
پراڻو	ADJ	پراڻو	
پسند	ADJ	پسند	
پهريان	ADJ	پهريون	
پيش	ADJ	پيش	
ٿوريء	ADJ	ٿورو	
ٿيڻ	ADJ	ٿي	
ڀارتي	ADJ	ڀارتي	
چوٿون	ADJ	چوٿ	
چوڌاري	ADJ	چوڌاري	
چوڏهين	ADJ	چوڏهن	
چيني	ADJ	چيني	
چڱن	ADJ	چڱو	
ڊاهي	ADJ	ڊاه	
ڌماڪي	ADJ	ڌماڪو	
ڏورانهن	ADJ	ڏورانهن	
ڏٺن	ADJ	ڏٺو	
ڪشي	ADJ	ڪشي	
ڪوتاهه	ADJ	ڪوتاهه	
ڪڙي	ADJ	ڪڙي	
گذريل	ADJ	گذريو	Review needed
گيڙو	ADJ	گيڙو	
ڳجهن	ADJ	ڳجهو	
ڳرا	ADJ	ڳرو	
ڳري	ADJ	ڳري	
ڳنڀير	ADJ	ڳنڀير	
رڳو	ADP	رڳو	
ساڻس	ADP	ساڻس	
سميت	ADP	سميت	
طرف	ADP	طرف	
طور	ADP	طور	
الاءِ	ADV	الاءِ	
الائي	ADV	الائي	
اهوئي	ADV	اهوئي	
اُهي	ADV	اُهي	
اڃاتائيـن	ADV	اڃاتائين	
اڃان	ADV	اڃان	
ترت	ADV	ترت	
جيتوڻيڪ	ADV	جيتوڻيڪ	
جيڏانهن	ADV	جيڏانهن	
دوران	ADV	دوران	
زوري	ADV	زوري	
ساڻ	ADV	ساڻ	
سويرو	ADV	سويرو	
طرف	ADV	طرف	
مس	ADV	مس	
هـوڏانـهـن	ADV	هـوڏانھن	
هيٺئين	ADV	هيٺ	
هٿان	ADV	هٿان	
وسيلي	ADV	وسيلي	
ٻاهران	ADV	ٻاهران	
پو‌	ADV	پو‌	
ھاڻي	ADV	ھاڻ	
آهناهي	AUX	آهناه	Review needed Seems Spelling mistake
آهيئي	AUX	آهي	
آهيو	AUX	آهي	
آُھي	AUX	آُھو	
آھيس	AUX	آهي	
اٿئي	AUX	آهي
اٿو	AUX	آهي
سگهندا	AUX	سگهندو	
سگهنداسون	AUX	سگهندو	
سگهنداسين	AUX	سگهندو	
سگهندس	AUX	سگهندو	
سگهندي	AUX	سگهندو	
سگهنديون	AUX	سگهندو	
سگهيا	AUX	سگهي	
سگهيس	AUX	سگهي	
سگهين	AUX	سگهي	
سگهڻ	AUX	سگهي	
سگھان	AUX	سگهي
ناھن	AUX	آهي
ناھي	AUX	آهي
هجن	AUX	آهي
هوندو	AUX	هوندو	
هوندي	AUX	هوندي	
هيا	AUX	هيو	
پيا	AUX	پيو	
ٿي،	AUX	ٿي،	comma?  fixed
ٿين	AUX	آهي
ٿيندو	AUX	آهي
ٿيو	AUX	آهي
ڏيون	AUX	ڏي	
ڪانهي	AUX	آهي
ڪونهن	AUX	آهي	
گھوڙي	AUX	گھوڙي	Review needed
ھئا	AUX	آهي
ھئو	AUX	آهي	
ھو	AUX	آهي
آ	AUX	آهي
آھيان	AUX	آهي	
آھين	AUX	آهي	
آھيون	AUX	آهي	
اٿم	AUX	آهي
رهندي	AUX	رهندو	
سگهجي	AUX	سگهجي	may be VM
سگهون	AUX	سگهي	may be VM
سگهيون	AUX	سگهي	May be VM
نٿا	AUX	آهي
نٿي	AUX	نٿي	
هئين	AUX	هئي	
هجون	AUX	آهي
هي	AUX	هي	
ٿيئي	AUX	ٿي	
ھا	AUX	ھا	
سگهندو	AUX	سگهي	
هئس	AUX	آهي
هومانس	AUX	هو	
ٿيندا	AUX	آهي	
ڪونهي	AUX	آهي
11	CCONJ	11	
جو	CCONJ	جو	
لا	CCONJ	لا	
اهڙيءَ	DET	اهڙو	
اُن	DET	اُن	
اِها	DET	اِها	
جن	DET	جي	
اڙي	INTJ	اڙي	
ها	INTJ	ها	
Dialects	NOUN	Dialects	
Dimension	NOUN	Dimension	
Mass	NOUN	Mass	
Media	NOUN	Media	
WFO	NOUN	WFO	
http://www.cctv.com.pk	NOUN	http://www.cctv.com.pk	
آئينده	NOUN	آئينده	
آئيڊل	NOUN	آئيڊل	
آبادي	NOUN	آبادي	
آدم	NOUN	آدم	
آرميءَ	NOUN	آرميءَ	
آزاد	NOUN	آزاد	
آزمائشن	NOUN	آزمائش	
آف	NOUN	آف	
آفيسن	NOUN	آفيس	
آور	NOUN	آور	
آگاهه	NOUN	آگاهه	
آگاهي	NOUN	آگاهي	
اتحاد	NOUN	اتحاد	
اتساهه	NOUN	اتساهه	
اخبارن	NOUN	اخبار	
اختيارن	NOUN	اختيار	
اداري	NOUN	ادارو	
اداسي	NOUN	اداسي	
اديءَ	NOUN	اديءَ	
ازالو	NOUN	ازالو	
اسرائيل	NOUN	اسرائيل	
اسمن	NOUN	اسم	
اسٽائل	NOUN	اسٽائل	
اسٽاف	NOUN	اسٽاف	
اسٽنٽ	NOUN	اسٽنٽ	
اسپتالن	NOUN	اسپتال	
اسپورٽس	NOUN	اسپورٽس	
اسڪرين	NOUN	اسڪرين	
اسڪواڊ	NOUN	اسڪواڊ	
اشاري	NOUN	اشارو	
اشتهارن	NOUN	اشتهار	
اطلاعات	NOUN	اطلاع	
الهه	NOUN	الهه	
الوطني	NOUN	الوطني	
امداد	NOUN	امداد	
امڪان	NOUN	امڪان	
انبارن	NOUN	انبار	
انتظاميه	NOUN	انتظاميه	
انٽري	NOUN	انٽري	
انڊيڪس	NOUN	انڊيڪس	
اهلبيت	NOUN	اهلبيت	
اهلڪارن	NOUN	اهلڪار	
اهڃاڻن	NOUN	اهڃاڻ	
اوجهريءَ	NOUN	اوجهريءَ	
ايئرپورٽ	NOUN	ايئرپورٽ	
ايجادن	NOUN	ايجاد	
ايجنڊا	NOUN	ايجنڊا	
ايمبولينس	NOUN	ايمبولينس	
اينڊ	NOUN	اينڊ	
ايوان	NOUN	ايوان	
ايڊوڪيٽ	NOUN	ايڊوڪيٽ	
ايڊيشنل	NOUN	ايڊيشنل	
ايڪشن	NOUN	ايڪشن	
ايگزيڪيوٽو	NOUN	ايگزيڪيوٽو	
اُن	NOUN	اُن	
اٻهرائپ	NOUN	اٻهرائپ	
اپت	NOUN	اپت	
اپيل	NOUN	اپيل	
اکر	NOUN	اکر	
اڪرام	NOUN	اڪرام	
اگهه	NOUN	اگهه	
اھلڪار	NOUN	اھلڪار	
