Text	POS	Lemma	
امڪاني	ADJ	امڪاني
انتظامي	ADJ	انتظامي
ايڏو	ADJ	ايڏو
اڳئين	ADJ	اڳئين
اڳڀرو	ADJ	اڳڀرو
اڻٽر	ADJ	اڻٽر
بااختيار	ADJ	بااختيار
بدترين	ADJ	بدترين
تاريخي	ADJ	تاريخي
تازي	ADJ	تازي
تفصيلي	ADJ	تفصيلي
جاني	ADJ	جاني
جهنگلي	ADJ	جهنگلو
حساس	ADJ	حساس
خشڪ	ADJ	خشڪ
دريائي	ADJ	دريائي
رسو	ADJ	رسو
رڪني	ADJ	رڪني
زيل	ADJ	زيل
سارو	ADJ	سارو
ساري	ADJ	ساري
ساڳيو	ADJ	ساڳيو
ستئي	ADJ	ستئي
ستن	ADJ	ستو
سربستي	ADJ	سربستي
سرهو	ADJ	سرهو
سـُـڪل	ADJ	سـُـڪل
سـُڪل	ADJ	سـُڪل
سو	ADJ	سو
سڌي	ADJ	سڌي
سڪل	ADJ	سڪل
شامل	ADJ	شامل
صدارتي	ADJ	صدارتي
ضلعي	ADJ	ضلعو
طرفي	ADJ	طرفي
طويل	ADJ	طويل
ظاهر	ADJ	ظاهر
فعال	ADJ	فعال
قانوني	ADJ	قانوني
لارجر	ADJ	لارجر
لازمي	ADJ	لازمي
لاڳو	ADJ	لاڳو
لهواري	ADJ	لهوارو
مشروط	ADJ	مشروط
مصروف	ADJ	مصروف
مطمئين	ADJ	مطمئيو
ممڪن	ADJ	ممڪن
منطور	ADJ	منطور
موچارو	ADJ	موچارو
مُٺِي	ADJ	مُٺِ
مِٺِي	ADJ	مِٺ
مٿانهين	ADJ	مٿينھن
مٿين	ADJ	مٿيو
نيشنل	ADJ	نيشنل
هراسيل	ADJ	هراسيل
هرڪو	ADJ	هرڪو
هضم	ADJ	هضم
هيٺين	ADJ	هيٺ
هيٺيون	ADJ	هيٺ
هيڏو	ADJ	هيڏو
هيڏي	ADJ	هيڏ
هٿرادو	ADJ	هٿرادو
هٿيڪو	ADJ	هٿيڪو
هڪٻئي	ADJ	هڪٻ
هڪڙيءَ	ADJ	هڪڙو
واقع	ADJ	واقع
ويچارو	ADJ	ويچارو
ويڳاڻو	ADJ	ويڳاڻو
