Raw Form	UPOS	proposed lemma	Remarks
آخري	ADJ	آخري	
آزاد	ADJ	آزاد	
آمريڪي	ADJ	آمريڪي	
ادبي	ADJ	ادبي	
اصل	ADJ	اصل	
الڳ	ADJ	الڳ	
انتهائي	ADJ	انتهائي	
انساني	ADJ	انساني	
اهم	ADJ	اهم	
اهڙا	ADJ	اهڙو	
اهڙن	ADJ	اهڙو	
اهڙي	ADJ	اهڙي	
اهڙيءَ	ADJ	اهڙيءَ	
ايترا	ADJ	ايترو	
ايترو	ADJ	ايترو	
ايتري	ADJ	ايتري	
اڌ	ADJ	اڌ	
اڳوڻي	ADJ	اڳوڻي	
باقي	ADJ	باقي	
برقرار	ADJ	برقرار	
بيگاري	ADJ	بيگاري	
تخليقي	ADJ	تخليقي	
تيار	ADJ	تيار	
تيز	ADJ	تيز	
جمهوري	ADJ	جمهوري	
جهڙي	ADJ	جهڙي	
جوڊيشل	ADJ	جوڊيشل	
حيران	ADJ	حيران	
حڪومتي	ADJ	حڪومتي	
خالي	ADJ	خالي	
خطرناڪ	ADJ	خطرناڪ	
خودڪش	ADJ	خودڪش	
خوفناڪ	ADJ	خوفناڪ	
رڳو	ADJ	رڳو	
سرڪاري	ADJ	سرڪاري	
سمورن	ADJ	سمورو	
سموري	ADJ	سموري	
سميت	ADJ	سميت	
سياسي	ADJ	سياسي	
سپريم	ADJ	سپريم	
سڄو	ADJ	سڄو	
صحيح	ADJ	صحيح	
صرف	ADJ	صرف	
صوبائي	ADJ	صوبائي	
ضروري	ADJ	ضروري	
عام	ADJ	عام	
عوامي	ADJ	عوامي	
غذائي	ADJ	غذائي	
غير	ADJ	غير	
فقط	ADJ	فقط	
قائم	ADJ	قائم	
لڳ	ADJ	لڳ	
مخالف	ADJ	مخالف	
مضبوط	ADJ	مضبوط	
معاشي	ADJ	معاشي	
مقامي	ADJ	مقامي	
ملڪي	ADJ	ملڪي	
موجوده	ADJ	موجود	
مڪاني	ADJ	مڪاني	
نئون	ADJ	نئون	
ننڍي	ADJ	ننڍي	
ننڍڙي	ADJ	ننڍي	
نوڪدار	ADJ	نوڪدار	
هر	ADJ	هر	
هزارين	ADJ	هزار	
هيءُ	ADJ	هيءُ	
هڪ	ADJ	هڪ	
هڪڙو	ADJ	هڪڙو	
هڪڙي	ADJ	هڪڙي	
واضح	ADJ	واضح	
وفاقي	ADJ	وفاقي	
ٺيڪ	ADJ	ٺيڪ	
ٻئي	ADJ	ٻہ	
ٻاراڻو	ADJ	ٻاراڻو	
ٻن	ADJ	ٻہ	
ٻنهي	ADJ	ٻن	
ٻه	ADJ	ٻه	
ٻي	ADJ	ٻہ	
ٻيا	ADJ	ٻيو	
ٻين	ADJ	ٻيو	
ٻيو	ADJ	ٻيو	
ٽي	ADJ	ٽي	
پراڻي	ADJ	پراڻي	
پرڏيهي	ADJ	پرڏيهي	
پهرين	ADJ	پهرين	
پهريون	ADJ	پهريون	
پورو	ADJ	پورو	
پوڙهي	ADJ	پوڙهي	
