Text	UPOS	Predicted	Remarks	
آئيني	ADJ	آئيني		
آجو	ADJ	آجو		
آپگهاتي	ADJ	آپگهاتي		
اترين	ADJ	اتر		
احتجاجي	ADJ	احتجاجي		
اسلامي	ADJ	اسلامي		
اصلوڪي	ADJ	اصلوڪو		
افسوسناڪ	ADJ	افسوسناڪ		
اقتداري	ADJ	اقتداري		
الصوبائي	ADJ	الصوبائي		
الوداعي	ADJ	الوداعي		
انڌو	ADJ	انڌو		
اهڙو	ADJ	اهڙو		
اوتريون	ADJ	اوتري		
اڏامندڙ	ADJ	اڏامندڙ		
اڳين	ADJ	اڳيون		
باقائده	ADJ	باقائده		
برابر	ADJ	برابر		
برطانوي	ADJ	برطانوي		
تباهه	ADJ	تباهه		
تفريحي	ADJ	تفريحي		
تقريبن	ADJ	تقريبن		
تمام	ADJ	تمام		
جامع	ADJ	جامع		
جديد	ADJ	جديد		
جيترا	ADJ	جيترو		
جيتري	ADJ	جيتري		
حتمي	ADJ	حتمي		
خود	ADJ	خود		
خونخوار	ADJ	خونخوار		
داخل	ADJ	داخل		
رجسٽرڊ	ADJ	رجسٽرڊ		
زرخيز	ADJ	زرخيز		
زرعي	ADJ	زرعي		
سالياني	ADJ	ساليانو		
ساڳيءَ	ADJ	ساڳيءَ		
ساڳيا	ADJ	ساڳيو		
ساڳين	ADJ	ساڳيو		
ساڳيون	ADJ	ساڳي		
سطحي	ADJ	سطحي		
سنگين	ADJ	سنگين		
سول	ADJ	سول		
سويل	ADJ	سويل		
سوين	ADJ	سو		
سڌا	ADJ	سڌو		
سکڻي	ADJ	سکڻي		
سگهارو	ADJ	سگهارو		
شاندار	ADJ	شاندار		
شديد	ADJ	شديد		
شفاف	ADJ	شفاف		
طوفاني	ADJ	طوفاني		
عياشي	ADJ	عياشي		
فرائص	ADJ	فرائص		
فلسطيني	ADJ	فلسطيني		
فوت	ADJ	فوت		
قدرتي	ADJ	قدرتي		
لازوال	ADJ	لازوال		
ماتر	ADJ	ماتر		
ماتمي	ADJ	ماتمي		
متاثر	ADJ	متاثر		
متفقه	ADJ	متفقه		
متوقع	ADJ	متوقع		
مجموعي	ADJ	مجموعي		
محدود	ADJ	محدود		
مرڪزي	ADJ	مرڪزي		
مسلمان	ADJ	مسلمان		
معذور	ADJ	معذور		
منجهائي	ADJ	منجهائي	This seems verb	xf
منظم	ADJ	منظم		
مهانگو	ADJ	مهانگو		
مٿيون	ADJ	مٿي		
مٿڀرو	ADJ	مٿڀرو		
مکيه	ADJ	مکيه		
ناقابل	ADJ	ناقابل		
نامراد	ADJ	نامراد		
ناڪافي	ADJ	ناڪافي		
نجي	ADJ	نجي		
نوجوان	ADJ	نوجوان		
نيون	ADJ	نيون		
هالو	ADJ	هالو		
هاڻوڪي	ADJ	هاڻوڪو		
هرهڪ	ADJ	هرهڪ		
هلي	ADJ	هل	Seems Verb	dep
هين	ADJ	هين		
ويچاري	ADJ	ويچاري		
يقيني	ADJ	يقيني		
ٻاتيون	ADJ	ٻات		
ٻيهر	ADJ	ٻيهر		
ٻيون	ADJ	ٻي		
ٻٽي	ADJ	ٻٽي		
پارلياماني	ADJ	پارلياماني		
پاڪستاني	ADJ	پاڪستاني		
پراسرار	ADJ	پراسرار		
پرڀرو	ADJ	پرڀرو		
پنج	ADJ	پنج		
پوئتي	ADJ	پوئتي	Seems ADV	
پٺتي	ADJ	پٺتي	Seems ADV	
پڪ	ADJ	پڪ	Seems Noun	
ڀورا	ADJ	ڀورو		
چالو	ADJ	چالو		
ڏتڙيل	ADJ	ڏتڙيل		
ڏوهاري	ADJ	ڏوهارِي		
ڏينهون	ADJ	ڏينهون		
ڏيڍ	ADJ	ڏيڍ		
ڪالعدم	ADJ	ڪالعدم		
ڪنٽرولڊ	ADJ	ڪنٽرولڊ		
ڪهڙا	ADJ	ڪهڙو		
ڪيئي	ADJ	ڪيئي		
ڪچي	ADJ	ڪچي		
گهربل	ADJ	گهربل		
گهڻا	ADJ	گهڻو		
گهڻوئي	ADJ	گهڻو		
گهڻين	ADJ	گهڻي		
گڏيل	ADJ	گڏيل		
ڳڀرو	ADJ	ڳڀرو		
ڳچ	ADJ	ڳچ		
۾ڪيتريون	ADJ	۾ڪتريون	Tokenization Problem م and ڪيتريون are two separate words	fixed
اندر	ADP	اندر		
بجاءِ	ADP	بجاءِ		
جيان	ADP	جيان		
خاطر	ADP	خاطر		
في	ADP	في		
لڳ	ADP	لڳ	Seems ADV or VERRB	
وارين	ADP	واري		
واسطي	ADP	واسطي		
ويجهو	ADP	ويجهو	Seems ADV	
وچان	ADP	وچ	seems NOUN	
ڀرو	ADP	ڀرو		
ڌاري	ADP	ڌاري		
کين	ADP	کي		
الاجي	ADV	الاجي		
اوڏانهن	ADV	اوڏانهن		
اُتي	ADV	اُتي		
برقرار	ADV	برقرار		
بنهه	ADV	بنهه		
تازو	ADV	تازو	ADJ not ADV	
تيستائين	ADV	تيستائين		
جاري	ADV	جاري		
فوري	ADV	فوري		
لاشڪ	ADV	لاشڪ		
لڳاتار	ADV	لڳاتار		
هرگز	ADV	هرگز		
واقع	ADV	واقع		
يقينن	ADV	يقينو		
يڪدم	ADV	يڪدم		
ٻيهر	ADV	ٻيهر		
پهريائين	ADV	پهريائين		
چڱو	ADV	چڱو	ADJ	
ڇونه	ADV	ڇونه		
ڏي	ADV	ڏي		
ھاڻ	ADV	ھاڻ		
ناهن	AUX	ناهي		
نٿو	AUX	نٿو		
هئاسين	AUX	هئس		
ٿيا	AUX	ٿيو		
اھڙو	DET	اھڙو		
جو	DET	جو		
پاڻهي	DET	پاڻهي	PRP	
ڪوبه	DET	ڪوبه		
Copiest	NOUN	Copiest		
D.I.G	NOUN	D.I.G		
Justify	NOUN	Justify		
آبادگارن	NOUN	آبادگار		
آجيان	NOUN	آجيان		
آدرش	NOUN	آدرش		
آفيسرن	NOUN	آفيسر		
آمد	NOUN	آمد		
آمر	NOUN	آمر		
آمريت	NOUN	آمريت		
آمريڪين	NOUN	آمريڪي		
آورن	NOUN	آوري		
آڙ	NOUN	آڙ		
اتساھ	NOUN	اتساھ		
اجهي	NOUN	اجهو		
احتجاجي	NOUN	احتجاج		
اختيارين	NOUN	اختيار		
اذيت	NOUN	اذيت		
ارادو	NOUN	ارادو		
اربع	NOUN	اربع		
استقبال	NOUN	استقبال		
اسٽاپن	NOUN	اسٽاپ		
اسٽور	NOUN	اسٽور		
اسٽيجن	NOUN	اسٽيجن		
اسٽينڊنگ	NOUN	اسٽينڊنگ		
اسپيڪر	NOUN	اسپيڪر		
اسڪائوٽ	NOUN	اسڪائوٽ		
اضافو	NOUN	اضافو		
اطلاعن	NOUN	اطلاع		
اظھار	NOUN	اظھار		
اعظم	NOUN	اعظم		
افسوس	NOUN	افسوس		
السلام	NOUN	السلام		
امام	NOUN	امام		
انتقام	NOUN	انتقام		
انداز	NOUN	انداز		
اندرڊي	NOUN	اندرڊي		
انچارج	NOUN	انچارج		
انگريزيءَ	NOUN	انگريزيءَ		
انگن	NOUN	انگي		
اوجهري	NOUN	اوجهري		
اولاد	NOUN	اولاد		
اونداهي	NOUN	اونداهي		
اونڌو	NOUN	اونڌو		
ايراضي	NOUN	ايراضي		
ايل	NOUN	ايل		
ايمانداريءَ	NOUN	ايمانداريءَ		
ايوانن	NOUN	ايوان		
ايڌي	NOUN	ايڌي		
ايڪسين	NOUN	ايڪسين		
ايڪڙ	NOUN	ايڪڙ		
اي–ميل	NOUN	اي–ميل		
اُٺ	NOUN	اُٺ		
اٽارني	NOUN	اٽارني		
اٽو	NOUN	اٽو		
اٽي	NOUN	اٽي		
اپوزيشن	NOUN	اپوزيشن		
اڀياس	NOUN	اڀياس		
اچان	NOUN	اچ	VERB	
اکرن	NOUN	اکري		
اڱاري	NOUN	اڱاري		
اڳواٽ	NOUN	اڳواٽ		
اڳواڻي	NOUN	اڳواڻي		
بئراجن	NOUN	بئراجي		
بئنڪ	NOUN	بئنڪ		
بادشاهت	NOUN	بادشاهت		
باري	NOUN	باري		
بارگاهون	NOUN	بارگاه		
باطل	NOUN	باطل		
باقاعدگيءَ	NOUN	باقاعدگيءَ		
باقيات	NOUN	باقيات		
بجيٽ	NOUN	بجيٽ		
بحالي	NOUN	بحالي		
بدامني	NOUN	بدامني		
بدحالي	NOUN	بدحالي		
بدلي	NOUN	بدلي		
بدنصيبي	NOUN	بدنصيب		
برادري	NOUN	برادري		
برد	NOUN	برد		
برسات	NOUN	برسات		
برطرف	NOUN	برطرف		
بصرن	NOUN	بصر		
بعد	NOUN	بعد		
بلڊوز	NOUN	بلڊوز		
بمبار	NOUN	بمبار		
بمباري	NOUN	بمباري		
بناوت	NOUN	بناوت		
بنديون	NOUN	بندي		
بنيادن	NOUN	بنياد		
بهتريءَ	NOUN	بهتريءَ		
بورڊ	NOUN	بورڊ		
بولٽن	NOUN	بولٽن		
بيروزگاري	NOUN	بيروزگاري		
بين	NOUN	بين		
بيوروڪريسي	NOUN	بيوروڪريسي		
بيوقوفاڻيون	NOUN	بيوقفاڻين		
تباهي	NOUN	تباهي		
تباهيءَ	NOUN	تباهيءَ		
تباهين	NOUN	تباهي		
تجويزن	NOUN	تجويزو		
تحفظات	NOUN	تحفظات		
ترميمون	NOUN	ترمي		
ترن	NOUN	ترو		
تعمير	NOUN	تعمير		
تعين	NOUN	تعين		
تنظيمون	NOUN	تنظيم		
توثيق	NOUN	توثيق		
تيزيءَ	NOUN	تيزيءَ		
ثبوتن	NOUN	ثبوت		
جائز	NOUN	جائز		
جائزو	NOUN	جائزو		
جاکوڙ	NOUN	جاکوڙ		
جدوجهد	NOUN	جدوجهد		
جلسن	NOUN	جلسو		
جلوسن	NOUN	جلوس		
جناح	NOUN	جناح		
جهالت	NOUN	جهالت		
جهان	NOUN	جهان		
جهنگل	NOUN	جهنگل		
جهول	NOUN	جهول		
جواز	NOUN	جواز		
جيلاني	NOUN	جيلاني		
جڳهين	NOUN	جڳھ		
حاجي	NOUN	حاجي		
حاصلات	NOUN	حاصلات		
حالتن	NOUN	حالت		
حالتون	NOUN	حالت		
حدن	NOUN	حد		
حرف	NOUN	حرف		
حضرت	NOUN	حضرت		
حوصلو	NOUN	حوصلو		
حيرت	NOUN	حيرت		
خاتمو	NOUN	خاتمو		
خارن	NOUN	خار		
خاطر	NOUN	خاطر		
خال	NOUN	خال		
خاني	NOUN	خاني		
ختم	NOUN	ختم		
خرد	NOUN	خرد		
خطري	NOUN	خطرو		
خميس	NOUN	خميس		
خواج	NOUN	خواج		
خواجه	NOUN	خواجه		
خواهشن	NOUN	خواهش		
خودڪشيون	NOUN	خودڪشي		
دار	NOUN	دار		
دايو	NOUN	دايو		
دراندازي	NOUN	دراندزي		
دز	NOUN	دز		
دستور	NOUN	دستور		
دعوت	NOUN	دعوت		
دهشت	NOUN	دهشت		
دوائون	NOUN	دوائي		
دورا	NOUN	دورو		
دوران	NOUN	دوران		
دورو	NOUN	دورو		
دوري	NOUN	دورو		
دوڪان	NOUN	دوڪان		
ديس	NOUN	ديس		
ديوار	NOUN	ديوار		
دڙي	NOUN	دڙو		
دڳ	NOUN	دڳ		
ذميدار	NOUN	ذميدار		
ذميداريون	NOUN	ذميداري		
رائس	NOUN	رائس		
راهه	NOUN	راهه		
رايا	NOUN	رايو		
رجوع	NOUN	رجوع		
ردعمل	NOUN	ردعمل		
رمز	NOUN	رمز		
روايتن	NOUN	روايت		
روم	NOUN	روم		
روپ	NOUN	روپ		
روڪ	NOUN	روڪ		
ريسڪيو	NOUN	ريسڪيو		
ريلوي	NOUN	ريلوي		
ريلي	NOUN	ريلي		
رٽائرڊ	NOUN	رٽائرڊ		
رٽيل	NOUN	رٽيل		
رپورٽون	NOUN	رپورٽ		
رڪارڊ	NOUN	رڪارڊ		
رڪاوٽو	NOUN	رڪاوٽ		
زراعت	NOUN	زراعت		
زوال	NOUN	زوال		
سؤ	NOUN	سؤ		
سائيٽ	NOUN	سائيٽ		
ساٿي	NOUN	ساٿي		
ساک	NOUN	ساک		
ستارا	NOUN	ستارو		
سرا	NOUN	سرو		
سربراهي	NOUN	سربراهي		
سرٻاٽن	NOUN	سرٻاٽ		
سرگرمِ	NOUN	سرگرمِ		
سس	NOUN	سس		
سسٽم	NOUN	سسٽم		
سفارتخانا	NOUN	سفارتخانو		
سفارشون	NOUN	سفارش		
سفير	NOUN	سفير		
سلام	NOUN	سلام		
سلامتي	NOUN	سلامتي		
سهولتون	NOUN	سهولتون		
سوالن	NOUN	سوال		
سوسائٽي	NOUN	سوسائٽي		
