Word	POS	Predicted Lemma	
آرمينيائي	ADJ	آرمينيائي	
آسماني	ADJ	آسماني	
آڌيءَ	ADJ	آڌيءَ	
اتحادي	ADJ	اتحادي	
اسانجا	ADJ	اسانجو	Should either be PRON or DET
افغان	ADJ	افغان	
الاهي	ADJ	الاهي	
اليڪٽرانڪ	ADJ	اليڪٽرانڪ	
انتهاپسند	ADJ	انتهاپسند	
اڻ-ڌريو	ADJ	اڻ-ڌريو	
اڻڄاتل	ADJ	اڻڄاتل	
بارودي	ADJ	بارودي	
بدستور	ADJ	بدستور	
بدنام	ADJ	بدنام	
برفاني	ADJ	برفاني	
بمبار	ADJ	بمبار	
بيهودو	ADJ	بيهودو	
بيپناهه	ADJ	بيپناهه	
تازا	ADJ	تازا	
تخريبي	ADJ	تخريبي	
ترين	ADJ	تريون	
تنظيمي	ADJ	تنظيمي	
تنهنجيون	ADJ	تنهنجو	Should be a  PRON 
جاڳندو	ADJ	جاڳ	
جذباتي	ADJ	جذباتي	
جنسي	ADJ	جنسي	
جوهري	ADJ	جوهري	
جوڳي	ADJ	جوڳو	
جيئرو	ADJ	جيئرو	
خالص	ADJ	خالص	
خوبي	ADJ	خوبي	
دهشتگرد	ADJ	دهشتگرد	
دوستاڻا	ADJ	دوستاڻو	
ذري	ADJ	ذري	
ذميداراڻو	ADJ	ذميداراڻو	
ذهني	ADJ	ذهني	
ذيان	ADJ	ذيان	Should be a NOUN
روشن	ADJ	روشن	
زنده	ADJ	زنده	
سامونڊي	ADJ	سامونڊي	
سدوري	ADJ	سدورو	
سنسان	ADJ	سنسان	
سنهڙي	ADJ	سنهڙو	
سهڻيون	ADJ	سهڻي	
سياڻو	ADJ	سياڻو	
سينيئر	ADJ	سينيئر	
سڀاڳو	ADJ	سڀاڳو	
سڀاڻي	ADJ	سڀاڻي	Should be ADV
سچيون	ADJ	سچي	
سڌ	ADJ	سڌ	Should be a NOUN
شامي	ADJ	شامي	
شريڪ	ADJ	شريڪ	
شهيد	ADJ	شهيد	
شڪي	ADJ	شڪي	
ضروري	ADJ	ضروري	
علامتي	ADJ	علامتي	
غائب	ADJ	غائب	
غيرذميداراڻي	ADJ	غيرذماراڻو	
فرقيواراڻي	ADJ	فرقيواڻاڻو	
فوري	ADJ	فوري	
فيلسوفاڻي	ADJ	فيلسوفاڻو	
قابض	ADJ	قابض	
قابل	ADJ	قابل	
قبائلي	ADJ	قبائلي	
قطعه	ADJ	قطعه	
قومپرست	ADJ	قومپرست	
لبيائي	ADJ	لبيائي	
لذيذ	ADJ	لذيذ	
لـُـنڊو	ADJ	لـُـنڊو	
لفظي	ADJ	لفظي	
لچڪدار	ADJ	لچڪدار	
لڳاتار	ADJ	لڳاتار	
مبينه	ADJ	مبينه	
مخلتف	ADJ	مخلتف	
مذاڪري	ADJ	مذاڪرو	
